ID,vota_rd,total,share_rd
185,0,4224,0
226,0,2522,0
253,0,5906,0
260,0,4673,0
184,0,2510,0
262,0,2326,0
283,0,18648,0
286,0,1800,0
296,0,4979,0
329,0,2828,0
344,0,7791,0
43,0,65095,0
44,0,9457,0
54,0,8616,0
84,0,5014,0
210,0,3554,0
222,0,4576,0
290,0,5694,0
345,0,5903,0
106,0,34086,0
314,0,54879,0
41,0,29314,0
62,0,88049,0
300,0,37568,0
69,0,37078,0
91,0,4286,0
107,0,7564,0
214,0,18775,0
307,0,4723,0
325,0,20661,0
13,0,12570,0
28,0,10853,0
66,0,2281,0
76,0,12364,0
152,0,7383,0
138,0,8631,0
159,0,21160,0
322,0,3412,0
4,0,1380,0
12,0,1643,0
132,0,8182,0
154,0,60396,0
178,0,10344,0
179,0,9395,0
183,0,3618,0
250,0,1651,0
252,0,3475,0
303,0,1920,0
305,0,5050,0
330,0,4829,0
9,0,19846,0
59,0,8127,0
89,0,2618,0
157,0,3273,0
160,0,3861,0
242,0,4868,0
265,0,3652,0
328,0,7407,0
73,0,6315,0
98,0,4611,0
137,0,13464,0
151,0,3770,0
173,0,2139,0
216,0,2628,0
335,0,12733,0
337,0,8820,0
196,0,20806,0
316,0,97881,0
29,0,8978,0
46,0,4110,0
92,0,7865,0
187,0,11890,0
224,0,8686,0
278,0,4454,0
318,0,5530,0
72,0,6532,0
77,0,2313,0
100,0,6047,0
149,0,8496,0
232,0,8742,0
324,0,3582,0
340,0,18265,0
70,112,2280,0.04912280702
134,212,6013,0.03525694329
163,104,2700,0.03851851852
169,371,6572,0.0564516129
331,7913,61073,0.1295662568
97,208,5246,0.03964925658
128,755,14478,0.05214808675
129,126,3515,0.03584637269
155,263,6925,0.03797833935
198,329,7747,0.04246805215
202,379,11044,0.03431727635
271,332,11768,0.02821210061
193,0,59183,0
294,0,3476,0
297,0,4503,0
94,0,5133,0
95,0,6780,0
144,0,6633,0
156,0,5691,0
236,0,3575,0
237,0,16507,0
246,0,4920,0
243,0,7878,0
275,0,5711,0
21,0,9229,0
50,0,1149,0
171,0,4831,0
235,0,66141,0
7,0,13687,0
32,0,13823,0
37,0,1196,0
47,0,4564,0
75,0,1095,0
80,0,3475,0
96,0,756,0
104,0,2735,0
200,0,569,0
241,0,1151,0
247,0,1772,0
248,0,7013,0
249,0,2423,0
256,0,2143,0
1,0,8069,0
48,0,1515,0
42,0,1796,0
71,0,19813,0
51,0,1223,0
