ID,vot_jak,total,share_jak
232,850,9781,0.09
324,441,4250,0.1
340,2412,20567,0.12
70,137,2524,0.05
134,468,7117,0.07
163,298,3060,0.1
169,716,7730,0.09
331,7305,64428,0.11
97,758,5918,0.13
128,1701,15834,0.11
129,336,3786,0.09
155,914,7920,0.12
198,739,8472,0.09
202,1048,12790,0.08
271,1371,12994,0.11
193,6997,63063,0.11
294,193,3637,0.05
297,451,4799,0.09
94,363,5729,0.06
95,936,7377,0.13
144,1145,7450,0.15
156,735,6828,0.11
236,330,3892,0.08
237,2311,17973,0.13
246,531,5434,0.1
243,1164,8792,0.13
275,587,6149,0.1
21,953,11496,0.08
50,68,1426,0.05
171,504,5736,0.09
235,8548,73421,0.12
7,1103,15113,0.07
32,1192,15761,0.08
37,89,1398,0.06
47,268,5216,0.05
75,59,1319,0.04
80,286,4057,0.07
96,60,928,0.06
104,180,3344,0.05
200,47,741,0.06
241,76,1407,0.05
247,95,2187,0.04
248,708,8040,0.09
249,100,2826,0.04
256,128,2532,0.05
1,635,8638,0.07
48,134,1718,0.08
42,96,1974,0.05
71,1759,20819,0.08
51,107,1347,0.08
102,37,568,0.07
130,25,441,0.06
274,81,1424,0.06
189,13,236,0.06
327,5,230,0.02
10,0,0,
18,185,771,0.24
131,43,311,0.14
181,601,7465,0.08
227,153,2008,0.08
229,6,289,0.02
240,4717,48190,0.1
276,20,229,0.09
289,36,252,0.14
321,10,184,0.05
326,42,551,0.08
