ID;Sigla;Comuna;Votacion
7;PRSD;ANCUD;165
7;PS;ANCUD;2181
7;RD;ANCUD;0
7;RN;ANCUD;1581
7;UDI;ANCUD;3455
7;UP;ANCUD;0
8;AMP;ANDACOLLO;361
8;DC;ANDACOLLO;1285
8;DEMOREGIONAL;ANDACOLLO;0
8;ECO;ANDACOLLO;0
8;EVO;ANDACOLLO;485
8;FRNV;ANDACOLLO;0
8;FRVS;ANDACOLLO;0
8;IC;ANDACOLLO;0
8;IGUALDAD;ANDACOLLO;0
8;INDEP;ANDACOLLO;0
8;MAS;ANDACOLLO;0
8;PC;ANDACOLLO;397
8;PH;ANDACOLLO;0
8;PL;ANDACOLLO;0
8;PODER;ANDACOLLO;0
8;PPD;ANDACOLLO;342
8;PRI;ANDACOLLO;0
8;PRO;ANDACOLLO;0
8;PRSD;ANDACOLLO;804
8;PS;ANDACOLLO;544
8;RD;ANDACOLLO;0
8;RN;ANDACOLLO;385
8;UDI;ANDACOLLO;943
8;UP;ANDACOLLO;0
9;AMP;ANGOL;0
9;DC;ANGOL;1779
9;DEMOREGIONAL;ANGOL;0
9;ECO;ANGOL;0
9;EVO;ANGOL;981
9;FRNV;ANGOL;0
9;FRVS;ANGOL;0
9;IC;ANGOL;229
9;IGUALDAD;ANGOL;0
9;INDEP;ANGOL;0
9;MAS;ANGOL;293
9;PC;ANGOL;181
9;PH;ANGOL;0
9;PL;ANGOL;0
9;PODER;ANGOL;0
9;PPD;ANGOL;1883
9;PRI;ANGOL;347
9;PRO;ANGOL;486
9;PRSD;ANGOL;2048
9;PS;ANGOL;1539
9;RD;ANGOL;0
9;RN;ANGOL;4120
9;UDI;ANGOL;3287
9;UP;ANGOL;0
10;AMP;ANTARTICA;0
10;DC;ANTARTICA;2
10;DEMOREGIONAL;ANTARTICA;0
10;ECO;ANTARTICA;0
10;EVO;ANTARTICA;0
10;FRNV;ANTARTICA;0
10;FRVS;ANTARTICA;0
10;IC;ANTARTICA;0
10;IGUALDAD;ANTARTICA;0
10;INDEP;ANTARTICA;0
10;MAS;ANTARTICA;0
10;PC;ANTARTICA;1
10;PH;ANTARTICA;0
10;PL;ANTARTICA;0
10;PODER;ANTARTICA;0
10;PPD;ANTARTICA;1
