Comuna,ID,Cupo
RIO BUENO,271,6
RIO CLARO,272,6
RIO HURTADO,273,6
RIO IBAÑEZ,274,6
RIO NEGRO,275,6
RIO VERDE,276,6
ROMERAL,277,6
SAAVEDRA,278,6
SAGRADA FAMILIA,279,6
SALAMANCA,280,6
SAN ANTONIO,281,8
SAN BERNARDO,282,10
SAN CARLOS,283,6
SAN CLEMENTE,284,6
SAN ESTEBAN,285,6
SAN FABIAN,286,6
SAN FELIPE,287,6
SAN FERNANDO,288,6
SAN GREGORIO,289,6
SAN IGNACIO,290,6
SAN JAVIER,291,6
SAN JOAQUIN,292,8
SAN JOSE DE MAIPO,293,6
SAN JUAN DE LA COSTA,294,6
SAN MIGUEL,295,8
SAN NICOLAS,296,6
SAN PABLO,297,6
SAN PEDRO,298,6
SAN PEDRO DE ATACAMA,299,6
SAN PEDRO DE LA PAZ,300,8
SAN RAFAEL,301,6
SAN RAMON,302,8
SAN ROSENDO,303,6
SAN VICENTE,304,6
SANTA BARBARA,305,6
SANTA CRUZ,306,6
SANTA JUANA,307,6
SANTA MARIA,308,6
SANTIAGO,309,10
SANTO DOMINGO,310,6
SIERRA GORDA,311,6
TALAGANTE,312,6
TALCA,313,10
TALCAHUANO,314,8
TALTAL,315,6
TEMUCO,316,10
TENO,317,6
TEODORO SCHMIDT,318,6
TIERRA AMARILLA,319,6
TILTIL,320,6
TIMAUKEL,321,6
TIRUA,322,6
TOCOPILLA,323,6
TOLTEN,324,6
TOME,325,6
TORRES DEL PAINE,326,6
TORTEL,327,6
TRAIGUEN,328,6
TREGUACO,329,6
TUCAPEL,330,6
VALDIVIA,331,8
VALLENAR,332,6
VALPARAISO,333,10
VICHUQUEN,334,6
VICTORIA,335,6
VICUÑA,336,6
VILCUN,337,6
VILLA ALEGRE,338,6
VILLA ALEMANA,339,8
VILLARRICA,340,6
VIÑA DEL MAR,341,10
VITACURA,342,8
YERBAS BUENAS,343,6
YUMBEL,344,6
YUNGAY,345,6
ZAPALLAR,346,6
