"ID","Sigla","Comuna","Votacion"
7,"IC","ANCUD",0
7,"IGUALDAD","ANCUD",0
7,"INDEP","ANCUD",229
7,"MAS","ANCUD",0
7,"PC","ANCUD",633
7,"PH","ANCUD",0
7,"PL","ANCUD",0
7,"PODER","ANCUD",0
7,"PPD","ANCUD",1086
7,"PRI","ANCUD",0
7,"PRO","ANCUD",487
7,"PRSD","ANCUD",165
7,"PS","ANCUD",2181
7,"RD","ANCUD",0
7,"RN","ANCUD",1581
7,"UDI","ANCUD",3455
7,"UP","ANCUD",0
8,"AMP","ANDACOLLO",361
8,"DC","ANDACOLLO",971
8,"DEMOREGIONAL","ANDACOLLO",0
8,"ECO","ANDACOLLO",0
8,"EVO","ANDACOLLO",474
8,"FRNV","ANDACOLLO",0
8,"FRVS","ANDACOLLO",0
8,"IC","ANDACOLLO",0
8,"IGUALDAD","ANDACOLLO",0
8,"INDEP","ANDACOLLO",0
8,"MAS","ANDACOLLO",0
8,"PC","ANDACOLLO",462
8,"PH","ANDACOLLO",0
8,"PL","ANDACOLLO",0
8,"PODER","ANDACOLLO",0
8,"PPD","ANDACOLLO",277
8,"PRI","ANDACOLLO",10
8,"PRO","ANDACOLLO",0
8,"PRSD","ANDACOLLO",804
8,"PS","ANDACOLLO",857
8,"RD","ANDACOLLO",0
8,"RN","ANDACOLLO",385
8,"UDI","ANDACOLLO",943
8,"UP","ANDACOLLO",0
9,"AMP","ANGOL",0
9,"DC","ANGOL",1872
9,"DEMOREGIONAL","ANGOL",0
9,"ECO","ANGOL",0
9,"EVO","ANGOL",677
9,"FRNV","ANGOL",0
9,"FRVS","ANGOL",0
9,"IC","ANGOL",229
9,"IGUALDAD","ANGOL",0
9,"INDEP","ANGOL",0
9,"MAS","ANGOL",0
9,"PC","ANGOL",593
9,"PH","ANGOL",0
9,"PL","ANGOL",0
9,"PODER","ANGOL",0
9,"PPD","ANGOL",1470
9,"PRI","ANGOL",650
9,"PRO","ANGOL",486
9,"PRSD","ANGOL",2341
9,"PS","ANGOL",1446
9,"RD","ANGOL",0
9,"RN","ANGOL",4120
9,"UDI","ANGOL",3287
9,"UP","ANGOL",0
10,"AMP","ANTARTICA",0
10,"DC","ANTARTICA",1
10,"DEMOREGIONAL","ANTARTICA",0
10,"ECO","ANTARTICA",0
10,"EVO","ANTARTICA",0
10,"FRNV","ANTARTICA",0
10,"FRVS","ANTARTICA",0
10,"IC","ANTARTICA",0
10,"IGUALDAD","ANTARTICA",0
10,"INDEP","ANTARTICA",0
10,"MAS","ANTARTICA",0
10,"PC","ANTARTICA",1
10,"PH","ANTARTICA",0
10,"PL","ANTARTICA",0
10,"PODER","ANTARTICA",0
10,"PPD","ANTARTICA",1
10,"PRI","ANTARTICA",0
10,"PRO","ANTARTICA",0
10,"PRSD","ANTARTICA",0
10,"PS","ANTARTICA",2
10,"RD","ANTARTICA",0
10,"RN","ANTARTICA",1
10,"UDI","ANTARTICA",2
10,"UP","ANTARTICA",0
11,"AMP","ANTOFAGASTA",1969
11,"DC","ANTOFAGASTA",3589
11,"DEMOREGIONAL","ANTOFAGASTA",0
11,"ECO","ANTOFAGASTA",1580
11,"EVO","ANTOFAGASTA",3261
11,"FRNV","ANTOFAGASTA",0
11,"FRVS","ANTOFAGASTA",0
11,"IC","ANTOFAGASTA",0
11,"IGUALDAD","ANTOFAGASTA",2543
11,"INDEP","ANTOFAGASTA",2529
11,"MAS","ANTOFAGASTA",0
11,"PC","ANTOFAGASTA",4329
11,"PH","ANTOFAGASTA",199
11,"PL","ANTOFAGASTA",430
11,"PODER","ANTOFAGASTA",0
11,"PPD","ANTOFAGASTA",2123
11,"PRI","ANTOFAGASTA",2504
11,"PRO","ANTOFAGASTA",2701
11,"PRSD","ANTOFAGASTA",5248
11,"PS","ANTOFAGASTA",5029
11,"RD","ANTOFAGASTA",5612
11,"RN","ANTOFAGASTA",6522
11,"UDI","ANTOFAGASTA",8493
11,"UP","ANTOFAGASTA",0
12,"AMP","ANTUCO",0
12,"DC","ANTUCO",564
12,"DEMOREGIONAL","ANTUCO",0
12,"ECO","ANTUCO",0
12,"EVO","ANTUCO",96
12,"FRNV","ANTUCO",0
12,"FRVS","ANTUCO",0
12,"IC","ANTUCO",0
12,"IGUALDAD","ANTUCO",0
12,"INDEP","ANTUCO",0
12,"MAS","ANTUCO",0
12,"PC","ANTUCO",59
12,"PH","ANTUCO",0
12,"PL","ANTUCO",0
12,"PODER","ANTUCO",0
12,"PPD","ANTUCO",254
12,"PRI","ANTUCO",9
12,"PRO","ANTUCO",11
12,"PRSD","ANTUCO",600
12,"PS","ANTUCO",322
12,"RD","ANTUCO",0
12,"RN","ANTUCO",319
12,"UDI","ANTUCO",187
12,"UP","ANTUCO",0
13,"AMP","ARAUCO",0
13,"DC","ARAUCO",1297
13,"DEMOREGIONAL","ARAUCO",0
13,"ECO","ARAUCO",0
13,"EVO","ARAUCO",153
13,"FRNV","ARAUCO",0
13,"FRVS","ARAUCO",0
13,"IC","ARAUCO",0
13,"IGUALDAD","ARAUCO",0
13,"INDEP","ARAUCO",314
13,"MAS","ARAUCO",122
13,"PC","ARAUCO",620
13,"PH","ARAUCO",0
13,"PL","ARAUCO",0
13,"PODER","ARAUCO",0
13,"PPD","ARAUCO",1104
13,"PRI","ARAUCO",153
13,"PRO","ARAUCO",0
13,"PRSD","ARAUCO",1479
13,"PS","ARAUCO",2075
13,"RD","ARAUCO",0
13,"RN","ARAUCO",2809
13,"UDI","ARAUCO",2381
13,"UP","ARAUCO",0
14,"AMP","ARICA",621
14,"DC","ARICA",2531
14,"DEMOREGIONAL","ARICA",0
14,"ECO","ARICA",2835
14,"EVO","ARICA",1070
14,"FRNV","ARICA",0
14,"FRVS","ARICA",0
14,"IC","ARICA",172
14,"IGUALDAD","ARICA",657
14,"INDEP","ARICA",0
14,"MAS","ARICA",0
14,"PC","ARICA",3578
14,"PH","ARICA",5966
14,"PL","ARICA",2374
14,"PODER","ARICA",1020
14,"PPD","ARICA",3539
14,"PRI","ARICA",938
14,"PRO","ARICA",2219
14,"PRSD","ARICA",4279
14,"PS","ARICA",2770
14,"RD","ARICA",0
14,"RN","ARICA",5191
14,"UDI","ARICA",4375
14,"UP","ARICA",746
15,"AMP","BUIN",0
15,"DC","BUIN",1398
15,"DEMOREGIONAL","BUIN",0
15,"ECO","BUIN",2905
15,"EVO","BUIN",1104
15,"FRNV","BUIN",0
15,"FRVS","BUIN",0
15,"IC","BUIN",0
15,"IGUALDAD","BUIN",528
15,"INDEP","BUIN",637
15,"MAS","BUIN",0
15,"PC","BUIN",554
15,"PH","BUIN",411
15,"PL","BUIN",0
15,"PODER","BUIN",0
15,"PPD","BUIN",4572
15,"PRI","BUIN",1985
15,"PRO","BUIN",241
15,"PRSD","BUIN",2689
15,"PS","BUIN",2267
15,"RD","BUIN",0
15,"RN","BUIN",2242
15,"UDI","BUIN",4064
15,"UP","BUIN",0
16,"AMP","BULNES",0
16,"DC","BULNES",651
16,"DEMOREGIONAL","BULNES",0
16,"ECO","BULNES",1261
16,"EVO","BULNES",336
16,"FRNV","BULNES",0
16,"FRVS","BULNES",0
16,"IC","BULNES",0
16,"IGUALDAD","BULNES",0
16,"INDEP","BULNES",0
16,"MAS","BULNES",90
16,"PC","BULNES",1121
16,"PH","BULNES",0
16,"PL","BULNES",0
16,"PODER","BULNES",0
16,"PPD","BULNES",277
16,"PRI","BULNES",148
16,"PRO","BULNES",0
16,"PRSD","BULNES",1035
16,"PS","BULNES",1275
16,"RD","BULNES",0
16,"RN","BULNES",1614
16,"UDI","BULNES",1653
16,"UP","BULNES",0
17,"AMP","CABILDO",602
17,"DC","CABILDO",1556
17,"DEMOREGIONAL","CABILDO",0
17,"ECO","CABILDO",0
17,"EVO","CABILDO",586
17,"FRNV","CABILDO",0
17,"FRVS","CABILDO",0
17,"IC","CABILDO",0
17,"IGUALDAD","CABILDO",26
17,"INDEP","CABILDO",140
17,"MAS","CABILDO",0
17,"PC","CABILDO",990
17,"PH","CABILDO",692
17,"PL","CABILDO",0
17,"PODER","CABILDO",0
17,"PPD","CABILDO",675
17,"PRI","CABILDO",586
17,"PRO","CABILDO",678
17,"PRSD","CABILDO",315
17,"PS","CABILDO",863
17,"RD","CABILDO",0
17,"RN","CABILDO",316
17,"UDI","CABILDO",85
17,"UP","CABILDO",0
18,"AMP","CABO DE HORNOS",0
